FID,Latitude,Longitude,Depth_m
185,70.20081199,-153.3136167,1
186,70.20079981,-153.3136706,1
187,70.20079677,-153.3137335,1.1
188,70.20079372,-153.3137874,1.1
189,70.20078763,-153.3138413,1.1
190,70.20078763,-153.3139042,1.1
191,70.20078154,-153.3139671,1.1
192,70.20077849,-153.314021,1.1
193,70.2007724,-153.3141018,1.1
194,70.20077545,-153.3141467,1.2
195,70.20076936,-153.3142186,1.1
196,70.20076327,-153.3142635,1.1
197,70.20076022,-153.3142815,1.1
198,70.20075413,-153.3143533,1.2
199,70.20075413,-153.3143893,1.3
200,70.20074804,-153.3144701,1.2
201,70.200745,-153.314506,1.2
202,70.20073282,-153.3145869,1.2
203,70.20072673,-153.3146408,1.2
204,70.20071759,-153.3147036,1.2
205,70.2007115,-153.3147575,1.2
206,70.20070237,-153.3148025,1.2
207,70.20069628,-153.3148474,1.2
208,70.20069019,-153.3149013,1.2
209,70.2006841,-153.3149462,1.2
210,70.20068105,-153.3150001,1.3
211,70.20067496,-153.315045,1.3
212,70.20066887,-153.3151079,1.3
213,70.20066278,-153.3151618,1.3
214,70.20065669,-153.3151977,1.3
215,70.2006506,-153.3152516,1.5
216,70.20064147,-153.3153145,1.5
217,70.20063538,-153.3153594,1.5
218,70.20062929,-153.3154223,1.5
219,70.2006232,-153.3154762,1.5
220,70.20062015,-153.3155211,1.5
221,70.20061406,-153.315584,1.5
222,70.20061102,-153.3156289,1.5
223,70.20060188,-153.3156828,1.5
224,70.20059884,-153.3157367,1.6
225,70.2005897,-153.3157996,1.6
226,70.20058666,-153.3158445,1.6
227,70.20058361,-153.3158804,1.6
228,70.20057752,-153.3159343,1.5
229,70.20057143,-153.3159882,1.5
230,70.20056534,-153.3160421,1.5
231,70.20056229,-153.316087,1.5
232,70.20055925,-153.3161409,1.5
233,70.2005562,-153.3161858,1.5
234,70.20055011,-153.3162487,1.4
235,70.20054098,-153.3163295,1.4
236,70.20053793,-153.3163565,1.4
237,70.20052575,-153.3164463,1.4
238,70.20051966,-153.3165002,1.4
239,70.20051662,-153.3165272,1.4
240,70.20051053,-153.3165811,1.4
241,70.20050444,-153.316635,1.3
242,70.2004953,-153.3166978,1.3
243,70.20048921,-153.3167517,1.3
244,70.20048008,-153.3168146,1.3
245,70.20048008,-153.3168416,1.3
246,70.20047094,-153.3169134,1.3
247,70.20046485,-153.3169763,1.2
248,70.20045876,-153.3170392,1.2
249,70.20045267,-153.3171021,1.2
250,70.20044354,-153.317147,1.2
251,70.20043745,-153.3171919,1.2
252,70.2004344,-153.3172368,1.1
253,70.20042526,-153.3172907,1.1
254,70.20042222,-153.3173266,1.1
255,70.20041917,-153.3173985,0.9
256,70.20041308,-153.3174434,0.9
257,70.20040699,-153.3174883,0.9
258,70.2004009,-153.3175512,0.8
259,70.20039481,-153.3176051,0.8
260,70.20038872,-153.317659,0.7
261,70.20038568,-153.3176949,0.7
262,70.20036436,-153.3178836,0.6
263,70.20035523,-153.3179195,0.6
264,70.20034914,-153.3179734,0.6
265,70.20034305,-153.3180183,0.6
266,70.20033696,-153.3180812,0.6
267,70.20033087,-153.3181261,0.6
268,70.20032173,-153.3182429,0.6
269,70.20031259,-153.3183058,0.6
270,70.2003065,-153.3183596,0.6
271,70.20030346,-153.3183956,0.6
272,70.20030041,-153.3184495,0.6
273,70.20029737,-153.3185034,0.6
274,70.20028823,-153.3185932,0.6
275,70.20028823,-153.3186381,0.7
276,70.20028823,-153.3186561,0.7
277,70.20028214,-153.3187459,0.7
278,70.20027605,-153.3187998,0.7
279,70.20026692,-153.3188447,0.7
280,70.20026387,-153.3188807,0.7
281,70.20025778,-153.3189525,0.7
282,70.20026083,-153.3189795,0.7
283,70.20026083,-153.3190423,0.7
284,70.20025778,-153.3190783,0.7
285,70.20024865,-153.3191232,0.7
286,70.20024865,-153.3191771,0.8
287,70.2002456,-153.3192489,0.7
288,70.2002456,-153.3193028,0.7
289,70.20024256,-153.3193747,0.7
290,70.20023951,-153.3194106,0.6
291,70.20023342,-153.3194466,0.6
292,70.20022733,-153.3195005,0.6
293,70.20022429,-153.3195274,0.6
294,70.20022429,-153.3195544,0.7
295,70.20022124,-153.3196083,0.7
296,70.20022124,-153.3196532,0.7
297,70.2002182,-153.319734,0.6
298,70.20021515,-153.3197879,0.6
299,70.20021211,-153.3198508,0.6
300,70.20020906,-153.3198867,0.6
301,70.20020906,-153.3199227,0.6
302,70.20020297,-153.3199855,0.6
303,70.20019992,-153.3200305,0.6
304,70.20019383,-153.3200754,0.6
305,70.20019079,-153.3201203,0.6
306,70.20017861,-153.3202371,0.6
307,70.20017556,-153.3202999,0.6
308,70.20017556,-153.3203538,0.6
309,70.20017252,-153.3203898,0.6
310,70.20017252,-153.3204437,0.7
311,70.20016034,-153.3205694,0.7
312,70.20016034,-153.3205964,0.7
313,70.20015729,-153.3206323,0.6
314,70.20014816,-153.3206772,0.6
315,70.20014816,-153.3207131,0.6
316,70.20014816,-153.320767,0.6
317,70.20013902,-153.3208299,0.6
318,70.20013293,-153.3209108,0.6
319,70.20012989,-153.3209826,0.6
320,70.20012989,-153.3210545,0.6
321,70.20013293,-153.3211533,0.6
322,70.20013598,-153.3212341,0.6
323,70.20013293,-153.321288,0.6
324,70.20012989,-153.321333,0.6
325,70.20013293,-153.3214048,0.6
326,70.20012989,-153.3214677,0.6
327,70.20012684,-153.3215126,0.7
328,70.20012075,-153.3215755,0.7
329,70.20011771,-153.3216294,0.7
330,70.20011162,-153.3216743,0.6
331,70.20010857,-153.3217372,0.6
332,70.20010857,-153.3217911,0.7
333,70.20010553,-153.321836,0.6
334,70.20010553,-153.3218719,0.7
335,70.20010248,-153.3218899,0.7
336,70.20007507,-153.3221055,0.6
337,70.20007812,-153.3221504,0.6
338,70.20007812,-153.3222043,0.6
339,70.20007507,-153.3222492,0.6
340,70.20007203,-153.3223031,0.6
341,70.20006594,-153.322357,0.6
342,70.20005071,-153.3224648,0.6
343,70.20004462,-153.3225277,0.6
344,70.20004767,-153.3226085,0.7
345,70.20004767,-153.3226534,0.7
346,70.20004158,-153.3227882,0.7
347,70.20004158,-153.3228421,0.6
348,70.20003853,-153.322896,0.6
349,70.20003549,-153.3229768,0.6
350,70.2000294,-153.3230217,0.6
351,70.2000294,-153.3230846,0.7
352,70.20003244,-153.3231116,0.7
353,70.20003853,-153.3231565,0.7
354,70.20003853,-153.3232104,0.8
355,70.20004158,-153.3232463,0.9
356,70.20004462,-153.3232822,0.9
357,70.20004767,-153.3233361,1
358,70.20005071,-153.323381,1.1
359,70.20005071,-153.3234439,1.1
360,70.20005376,-153.3234798,1.1
361,70.20005071,-153.3235248,1.2
362,70.20004767,-153.3235966,1.2
363,70.20005071,-153.3236415,1.3
364,70.20005071,-153.3236954,1.3
365,70.20005071,-153.3237583,1.3
366,70.20005071,-153.3238032,1.3
367,70.20005071,-153.3238481,1.3
368,70.20005071,-153.3238751,1.4
369,70.20005071,-153.323929,1.4
370,70.20005376,-153.3239739,1.4
371,70.2000568,-153.3240278,1.5
372,70.20005376,-153.3240817,1.4
373,70.20005376,-153.3241536,1.4
374,70.20005376,-153.3242254,1.5
375,70.20005376,-153.3242793,1.5
376,70.20005071,-153.3243332,1.5
377,70.20005376,-153.3243871,1.5
378,70.20005376,-153.324459,1.4
379,70.20005376,-153.3245129,1.5
380,70.20005376,-153.3245668,1.5
381,70.2000568,-153.3246117,1.5
382,70.20005985,-153.3246566,1.5
383,70.20006289,-153.3247105,1.5
384,70.20006594,-153.3247554,1.4
385,70.20006898,-153.3248273,1.4
386,70.20006898,-153.3248722,1.5
387,70.20006898,-153.3249081,1.4
388,70.20006594,-153.32498,1.4
389,70.20006594,-153.3250429,1.4
390,70.20007203,-153.3251327,1.4
391,70.20007507,-153.3251866,1.4
392,70.20007812,-153.3252225,1.4
393,70.20008421,-153.3252764,1.4
394,70.20008421,-153.3253034,1.4
395,70.2000903,-153.3253662,1.4
396,70.20009639,-153.3254201,1.4
397,70.20010553,-153.325483,1.5
398,70.20011162,-153.3255459,1.5
399,70.20011162,-153.3255908,1.5
400,70.20012075,-153.3256447,1.5
401,70.20012684,-153.3257076,1.4
402,70.20012684,-153.3257705,1.4
403,70.20012989,-153.3258154,1.5
404,70.20013598,-153.3258693,1.5
405,70.20013902,-153.3259321,1.4
406,70.20014207,-153.325986,1.4
407,70.20014816,-153.3260489,1.4
408,70.2001512,-153.3260938,1.4
409,70.20015425,-153.3261388,1.4
410,70.20015425,-153.3262286,1.4
411,70.20015425,-153.3262825,1.4
412,70.20016338,-153.3263543,1.4
413,70.20016643,-153.3263993,1.4
414,70.20016947,-153.3264621,1.4
415,70.20017252,-153.3264981,1.4
416,70.20017556,-153.326552,1.4
417,70.20017861,-153.3266238,1.4
418,70.20017861,-153.3266687,1.4
419,70.20018166,-153.3267047,1.4
420,70.20018775,-153.3267765,1.4
421,70.20018775,-153.3268304,1.5
422,70.20019384,-153.3268933,1.5
423,70.20019384,-153.3269292,1.4
424,70.20019993,-153.3270011,1.4
425,70.20019993,-153.327055,1.4
426,70.20019993,-153.3271269,1.5
427,70.20019688,-153.3271897,1.5
428,70.20019688,-153.3272257,1.5
429,70.20019993,-153.3272706,1.5
430,70.20019993,-153.3273155,1.5
431,70.20019993,-153.3273694,1.5
432,70.20019993,-153.3274233,1.5
433,70.20020602,-153.3274592,1.5
434,70.20020906,-153.3275131,1.5
435,70.20021211,-153.327576,1.5
436,70.20021515,-153.3276568,1.5
437,70.20021515,-153.3277018,1.5
438,70.20021515,-153.3277557,1.5
439,70.2002182,-153.3278185,1.5
440,70.20022429,-153.3278814,1.5
441,70.20022733,-153.3279443,1.5
442,70.20023038,-153.3280072,1.4
443,70.20023342,-153.3280611,1.5
444,70.20023342,-153.328124,1.4
445,70.20023647,-153.3281958,1.5
446,70.20023951,-153.3282317,1.4
447,70.20023951,-153.3282767,1.4
448,70.20024256,-153.3283306,1.4
449,70.2002456,-153.3283845,1.4
450,70.2002456,-153.3284743,1.3
451,70.20024865,-153.3284922,1.3
452,70.20024865,-153.3285731,1.3
453,70.20025169,-153.328627,1.2
454,70.20025169,-153.3286809,1.3
455,70.20025169,-153.3287348,1.3
456,70.20025778,-153.3287797,1.3
457,70.20025778,-153.3288426,1.3
458,70.20026387,-153.3288965,1.2
459,70.20026387,-153.3289594,1.2
460,70.20026083,-153.3290222,1.1
461,70.20026083,-153.3291121,1.1
462,70.20026387,-153.3291749,1.1
463,70.20026083,-153.3292109,1.1
464,70.20025778,-153.3292558,1.1
465,70.20026083,-153.3293007,1
466,70.20026083,-153.3293456,1
467,70.20025778,-153.3293815,1
468,70.20026083,-153.3294265,0.9
469,70.20026083,-153.3294714,0.9
470,70.20025778,-153.3295253,0.9
471,70.20025778,-153.3295702,0.8
472,70.20025169,-153.3296241,0.8
473,70.20025169,-153.3296959,0.8
474,70.20025169,-153.3297678,0.8
475,70.20024865,-153.3298037,0.8
476,70.20024865,-153.3298576,0.8
477,70.20025169,-153.3299115,0.7
478,70.20025778,-153.3299654,0.7
479,70.20026083,-153.3300283,0.7
480,70.20026692,-153.3300912,0.7
481,70.20026997,-153.3301451,0.6
482,70.20027606,-153.33019,0.6
483,70.20026997,-153.3303158,0.6
484,70.20026387,-153.3303786,0.6
485,70.20026692,-153.3305942,0.6
486,70.20026997,-153.3309895,0.6
487,70.20026997,-153.3310703,0.6
488,70.20026692,-153.3311152,0.6
489,70.20026388,-153.3311601,0.6
490,70.20026692,-153.331214,0.6
491,70.20026692,-153.3312679,0.6
492,70.20026388,-153.3313128,0.6
493,70.20026083,-153.3316632,0.5
494,70.20025778,-153.3317171,0.5
495,70.20025474,-153.33178,0.5
496,70.20025169,-153.3318249,0.4
497,70.20025169,-153.3318788,0.4
498,70.20025778,-153.3319327,0.5
499,70.20025778,-153.3320045,0.5
500,70.20026083,-153.3320584,0.5
501,70.20026083,-153.3320944,0.5
502,70.20026388,-153.3321572,0.5
503,70.20026692,-153.3322111,0.5
504,70.20026997,-153.332274,0.5
505,70.20027301,-153.3323369,0.5
506,70.20027301,-153.3323728,0.5
507,70.20026997,-153.3324447,0.6
508,70.20026692,-153.3324986,0.6
509,70.20026692,-153.3325435,0.6
510,70.20026692,-153.3325884,0.6
511,70.20026692,-153.3326243,0.6
512,70.20026388,-153.3326782,0.6
513,70.20025779,-153.3327231,0.6
514,70.20025169,-153.332777,0.6
515,70.20024865,-153.3328309,0.7
516,70.20025169,-153.3328848,0.7
517,70.20025474,-153.3329477,0.6
518,70.20025474,-153.3329747,0.6
519,70.20024865,-153.3330375,0.6
520,70.20024256,-153.3331184,0.7
521,70.20024256,-153.3331633,0.7
522,70.20023647,-153.3332172,0.6
523,70.20023342,-153.3332621,0.6
524,70.20023647,-153.333307,0.6
525,70.20023647,-153.3333519,0.7
526,70.20023647,-153.3334058,0.7
527,70.20023647,-153.3334508,0.6
528,70.20023342,-153.3335047,0.6
529,70.20023342,-153.3335496,0.6
530,70.20022733,-153.3336124,0.6
531,70.20022733,-153.3336843,0.7
532,70.20022429,-153.3337202,0.6
533,70.20022429,-153.3337741,0.6
534,70.20022124,-153.333828,0.6
535,70.20021515,-153.3338819,0.6
536,70.20020602,-153.3339538,0.6
537,70.20020602,-153.3340077,0.6
538,70.20020602,-153.3340346,0.6
539,70.20020602,-153.3341155,0.6
540,70.20019993,-153.3341694,0.6
541,70.20019688,-153.3342143,0.6
542,70.20019993,-153.3342682,0.6
543,70.20020297,-153.3343221,0.6
544,70.20019993,-153.334367,0.6
545,70.20019993,-153.3344299,0.6
546,70.20019688,-153.3344928,0.6
547,70.20019688,-153.3345467,0.6
548,70.20019993,-153.3346006,0.6
549,70.20019993,-153.3346724,0.6
550,70.20019993,-153.3347263,0.6
551,70.20020297,-153.3347622,0.6
552,70.20020602,-153.3348072,0.6
553,70.20019993,-153.3348521,0.6
554,70.20019688,-153.334897,0.6
555,70.20019079,-153.3349599,0.6
556,70.20018775,-153.3350317,0.6
557,70.20018775,-153.3351036,0.6
558,70.2001847,-153.3351575,0.7
559,70.20018166,-153.3352024,0.7
560,70.20017557,-153.3352563,0.7
561,70.20017252,-153.3353192,0.7
562,70.20017252,-153.3353731,0.7
563,70.20016948,-153.335409,0.7
564,70.2001573,-153.3354719,0.7
565,70.20015425,-153.3355168,0.6
566,70.20014207,-153.3355707,0.6
567,70.20013598,-153.3356066,0.6
568,70.20013598,-153.3356515,0.6
569,70.20013293,-153.3357054,0.6
570,70.20012684,-153.3357414,0.6
571,70.20012075,-153.3357953,0.6
572,70.20011771,-153.3358402,0.6
573,70.20010553,-153.3358851,0.6
574,70.20009944,-153.33593,0.6
575,70.20009639,-153.3359659,0.6
576,70.20009335,-153.3360198,0.6
577,70.2000903,-153.3360737,0.6
578,70.20008421,-153.3361366,0.6
579,70.20008117,-153.3362085,0.6
580,70.20007812,-153.3362534,0.6
581,70.20007508,-153.3362893,0.6
582,70.20007203,-153.3363252,0.6
583,70.20006899,-153.3363702,0.6
584,70.20005985,-153.336433,0.6
585,70.20005681,-153.3364869,0.6
586,70.20005376,-153.3365408,0.6
587,70.20005071,-153.3365947,0.6
588,70.20004158,-153.3366935,0.5
589,70.20004158,-153.3367385,0.5
590,70.20003549,-153.3368283,0.6
591,70.20003853,-153.3368912,0.6
592,70.20003549,-153.3369271,0.6
593,70.20003244,-153.336963,0.6
594,70.20003244,-153.3370169,0.6
595,70.2000294,-153.3370798,0.6
596,70.20002026,-153.3371247,0.6
597,70.20000199,-153.3372684,0.6
598,70.19998981,-153.3373044,0.6
599,70.19998372,-153.3373403,0.6
600,70.1999624,-153.3374301,0.6
601,70.19994718,-153.3375289,0.6
602,70.19994718,-153.3375739,0.6
603,70.19994109,-153.3376278,0.6
604,70.199935,-153.3376727,0.6
605,70.19992891,-153.3377086,0.6
606,70.19991977,-153.3377535,0.6
607,70.19991673,-153.3377984,0.6
608,70.19991064,-153.3378433,0.6
609,70.1999015,-153.3378883,0.6
610,70.19989846,-153.3379242,0.6
611,70.19988627,-153.3379781,0.6
612,70.19987714,-153.338023,0.6
613,70.19987105,-153.3380679,0.7
614,70.19986496,-153.3381218,0.7
615,70.19985887,-153.3381667,0.7
616,70.19985278,-153.3382206,0.7
617,70.19984669,-153.3382655,0.7
618,70.1998406,-153.3383104,0.7
619,70.19983146,-153.3383554,0.7
620,70.19982537,-153.3384003,0.7
621,70.1998071,-153.338553,0.7
622,70.19980405,-153.3385799,0.7
623,70.19979796,-153.3386069,0.7
624,70.19978578,-153.3386698,0.7
625,70.19977665,-153.3387237,0.7
626,70.19976751,-153.3387776,0.7
627,70.19976142,-153.3388225,0.7
628,70.19975533,-153.3388764,0.7
629,70.19975229,-153.3389392,0.7
630,70.19974315,-153.3389842,0.7
631,70.19973706,-153.3390291,0.7
632,70.19973097,-153.339083,0.7
633,70.19972183,-153.3391458,0.7
634,70.19970661,-153.3392447,0.8
635,70.19970356,-153.3393075,0.8
636,70.19970052,-153.3393435,0.8
637,70.19969443,-153.3394064,0.9
638,70.19968834,-153.3394602,0.9
639,70.19968225,-153.3395052,0.8
640,70.1996792,-153.339568,0.9
641,70.19967006,-153.3396399,0.9
642,70.19966093,-153.3397028,0.9
643,70.19965788,-153.3397477,0.9
644,70.19965179,-153.3398016,0.9
645,70.1996457,-153.3398645,0.9
646,70.19963657,-153.3399274,0.9
647,70.19963048,-153.3399723,1
648,70.1996183,-153.340098,1
649,70.19961221,-153.3401609,1
650,70.19960916,-153.3402238,1
651,70.19960611,-153.3402777,1
652,70.19960002,-153.3403316,1
653,70.19959393,-153.3403945,1
654,70.19959089,-153.3404394,1.1
655,70.19957871,-153.3405202,1.1
656,70.19957566,-153.3405651,1.1
657,70.19957262,-153.34061,1.1
658,70.19956653,-153.3406639,1.1
659,70.19955739,-153.3407358,1.1
660,70.19955435,-153.3407807,1.1
661,70.19954521,-153.3408436,1.2
662,70.19954216,-153.3409244,1.2
663,70.19954216,-153.3409694,1.2
664,70.19953607,-153.3410233,1.2
665,70.19952998,-153.3410682,1.2
666,70.19952389,-153.3411131,1.3
667,70.19951171,-153.341158,1.2
668,70.19950867,-153.3412209,1.2
669,70.19950258,-153.3412658,1.2
670,70.19949344,-153.3413197,1.2
671,70.19948735,-153.3413736,1.2
672,70.19947821,-153.3414365,1.2
673,70.19947212,-153.3414904,1.3
674,70.19946603,-153.3415532,1.3
675,70.19945994,-153.3416071,1.2
676,70.1994569,-153.341661,1.2
677,70.19945385,-153.3417059,1.3
678,70.19945081,-153.3417598,1.3
679,70.19944167,-153.3418137,1.3
680,70.19943863,-153.3418676,1.3
681,70.19943254,-153.3419215,1.2
682,70.1994234,-153.3419754,1.2
683,70.19942035,-153.3420293,1.2
684,70.19941731,-153.3420742,1.2
685,70.19941122,-153.3421281,1.2
686,70.19940208,-153.342182,1.2
687,70.19939599,-153.3422359,1.3
688,70.19938686,-153.3422988,1.3
689,70.19938381,-153.3423437,1.3
690,70.19937772,-153.3423976,1.2
691,70.19937163,-153.3424515,1.2
692,70.19936859,-153.3424964,1.2
693,70.19936249,-153.3425503,1.2
694,70.19935336,-153.3426042,1.2
695,70.19934727,-153.3426581,1.2
696,70.19934118,-153.342721,1.2
697,70.19933813,-153.3427569,1.3
698,70.19933204,-153.3428108,1.2
699,70.19932595,-153.3428647,1.2
700,70.19931682,-153.3429366,1.2
701,70.19931072,-153.3429725,1.2
702,70.19930463,-153.3430264,1.2
703,70.19929854,-153.3430713,1.2
704,70.19929245,-153.3431342,1.2
705,70.19928332,-153.343251,1.2
706,70.19927418,-153.3433139,1.1
707,70.199262,-153.3433947,1.1
708,70.19925591,-153.3434396,1.1
709,70.19924982,-153.3434935,1.1
710,70.19924677,-153.3435115,1.1
711,70.19923459,-153.3435923,1.1
712,70.1992285,-153.3436462,1.1
713,70.19922241,-153.3437091,1.1
714,70.19921937,-153.343745,1.1
715,70.19921023,-153.3438079,1.1
716,70.19920109,-153.3438618,1.1
717,70.19919196,-153.3438978,1.1
718,70.19918587,-153.3439516,1
719,70.19917978,-153.3440055,1
720,70.19917673,-153.3440505,1
721,70.19917369,-153.3441044,1
722,70.19917673,-153.3441493,1
723,70.19917978,-153.3442121,0.9
724,70.19918587,-153.3442571,0.9
725,70.19919196,-153.3443199,0.9
726,70.199195,-153.3443828,0.8
727,70.19919805,-153.3444277,0.8
728,70.19920414,-153.3444906,0.8
729,70.19921023,-153.3445445,0.8
730,70.19921632,-153.3445894,0.8
731,70.19922241,-153.3446523,0.8
732,70.19922546,-153.3447152,0.7
733,70.19923459,-153.3447691,0.7
734,70.19924068,-153.344814,0.8
735,70.19924982,-153.3448859,0.8
736,70.19925286,-153.3449398,0.7
737,70.19925896,-153.3449757,0.7
738,70.19926505,-153.3450386,0.7
739,70.19927114,-153.3451014,0.7
